खर्च शीर्षक,सुरु बजेट,'कायम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारित्रमिक/सुविधा,९५५३,९५५३,७३४६,७६.९०
२१२०० कर्मचारीको सामाजिक सुरक्षा,%३,®३,थे,१००.००
२२१०० सेवा महसुल,७३८,७३८,६१०,८२.६६
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१८०७,१३८७,१७३२,१२४.८७
२२३०० कार्वालव सामान तथा सेवा,१०३२,१०३२,१०१९,९८.७४
२२४०० सेवा तथा परामर्श खर्च,१७८१,१७८१,१५९६,८९.६१
२२५०० कार्यक्रम सम्बन्धी खर्च,४३००,४३००,३२१८,७४.८४
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",२३२०,२२३०,२२९३,१०२.८३
२२७०० विविध खर्च,६१०,६१०,६१०,१००.००
२८१०० सम्पत्ति सम्बन्धी खर्च,३००,३००,२७१,९०.३३
जम्मा,२२४९४,२१९८४,१८७४८,
खर्च,,,,
२९००० स्थिर सम्पत्ति प्राप्ति खर्च,२९१०,२९१०,२९१०,१००.००
कुल जम्मा,२५४०४,२४८९४,२१६५८,८७.००
