,,,,विनियोजन,,,राजस्व,,,,,,,,अन्य,कारोबार,,
,मन्त्रालय/ निकायको नाम,,लेखापरीक्षण गरे पर्ने,,सम्पन्न,,लेखापरीक्षण गरे पर्ने,,सम्पन्न,,लेखापरीक्षण गरन पर्ने,,सम्पन्न,,लेखापरीक्षण गर्र्ने,,सम्पन्न,सेखापरीक्षण सम्पन्न
,,इकाई,रकम,इकाई,रकम,इकाई,रकम,इकाई,रकम,इकाई,रकम,इकाई,रकम,इकाई,रकम,इकाई,रकम,त
१,प्रदेश सभा सचिवालय,१,१५६२०८,०,०,१,२३२२,०,०,१,१६९१,०,०,१,७७,०,०,०
२,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,र,८०५६१,२,८०५६१,२,११२०३,२,१०८७२,१,९७०,१,९७०,१,४२७४५,१,४२७४४५,१३४५१४८
३,आन्तरिक मामिला तथा कानुन मन्त्रालय,११,८७६४२,१,८७६४२,१,३५५४,१,३५५४,१,१०८८८,१,१०च्चड,१,२३२५४२,१,२३२५४२,३३४६२६
४,आर्थिक मामिला मन्त्रालय,११,३११३८६३,११,३०५४४०६,११,१५२५७,११,१५२५७,११,४८११,११,४८११,८,८३९४३०,८,८३९४३०,३९१३९०४
४,"उद्योग, पर्यटन, बन तथा वातावरण मन्वालय",२८,१३८७९०४,२८,१३८७९०४,२५,१४७९,२५,१४६९,२६,८११२३५,२६,८११२३५,७,००५१३,७,८००५१३,२२८११२१
६,"भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालय",३१,१८६६३१४,३०,१८४५६३५,३१,४५६६,३०,४५२१,३१,५७५८३,३०,२७५२०,१२,१४१८९,१२,१४१८९,१९२१८६४५
७,भौतिक पूर्वाधार विकास मन्त्रालय,३१,१०३९०१३८,३०,१०१५८५७७,३१,३५७६,३०,३०५५,३०,१६१४७३६,२९,१५६९१०७,४,२८६८,४,२८६,९९६३३८०८
८,सामाजिक विकास मन्त्रालय,३७,३१२५९७९,३७,३१२५९७९,३०,१००८६११०६,३०,१००६५६९४,३३,२४३६५१,३३,२४३६५१,२१,२३९४७,२१,२३९४७,१३४५९२७१
९,प्रदेश नीति तथा योजना आयोग,१,३०२४७,१,३०२४७,०,०,०,०,०,०,०,०,०,०,०,०,३०२४७
१०,प्रदेश लोक सेवा आयोग,१,४९५६९,१,४९५६९,१,८७३,१,८७३,१,१४,१,१४,०,०,०,०,
११,मुख्य न्यायाधिवक्ताको कार्यालय,१,२१६५८,०,०,०,०,०,०,१,३९६,०,०,०,०,०,०,०
,जम्मा,१४५,२०३१००८३,१४१,१९८२०५२०,१३३,१०१२४३३६,९३०,१०१०५२९५,१३६,२७४५९७५,१३२,२६९८१९६,५५,१२३६३११,५४,१२३६२३४,र२३े३८६०२४५
