का,कार्यालयको,,,,,अतिनिकाकाट,,थि,,,,,,,,,,जम्मा
,नाम,दफा,संख्या लगती,,चेडान्तिक,लगती,,अरुज्‌ रकम,'बफा चेडानतिक,संख्या लगत,रकम,सस गनने,अनियमित ने,प्रमाणकाकागजात | पाचको,जिम्मेवारी,सोधमर्ता २,,
,'मूख्यमन्त्रीतया मन्त्रिपरिषद कार्यालय,२०,१०,१७१,०,०,०,०,२०,१०,१५७१,३०६,७७९,[र,०,०,१२६८,०
१,"प्रशासनिक प्रशिक्षण तालिम केन्द्र, डोटी",१२,२,३७४,०,०,,०,१२,२,३७,२९,,,०,०,न,०
२,"प्रादेशिक सुशासन केन्द्र, डोटी",,३,१५३४,०,०,०,०,४,,१५३४,२७७,७७१,,०,०,क२५७]०,
,' सामाजिक विकास मन्त्रालय,२०४,दश,४७४६,०,र,३१,०,२०४,३,४७४५५,६२९७,२४०८४५८,६४९५,०,११००,३७४१३,३७०५
३,"जिल्ला अस्पताल, दार्चुला",२१,२९,३४४२७,०,०,०,०,२१,२९,३४४२७,२५६२,२४६८१,१,०,५१००,३३८६४५,०
४,"जिल्ला अस्पताल, अछाम",१०,३,१८१२,०,०,०,०,१०,,१८१२,१००९,४००,३०३,०,०,८०३,
५,"महाकाली अस्पताल, कञ्चनपुर",२२,,२०६०,०,०,०,०,२२,४,२०६०,२०६०,,०,०,०,,०
६,"सेती अस्पताल, धनगढी",३,६,१९०३,,,,,३,६,१९०३,१,६७७,७७८,०,०,१४५५,०
७,"जिल्ला अस्पताल, बैतडी",२२,१४,४५२,०,०,०,०,२२,१४,श्र,१४६,०,३०६,०,०,३०६,०
८,"दिकापुर अस्पताल, कैलाली",२४,४,२७४१,०,०,०,०,२४,,२७४१,१९०६,०,,०,०,८३५,
९,"जिल्ला अस्पताल, बाजुरा",२२,२,२१,०,०,०,०,२२,र,२१,२१,,०,०,,,०
१०,"जिल्ला अस्पताल, डोटी",२१,,०,०,०,०,०,२१,०,०,०,०,०,०,०,०,०
११,"जिल्ला अस्पताल, बझाङ",,र,३१,,र,३१,०,,,०,०,०,०,०,०,०,०
१२,"प्रदेश युवा परिषद, धनगढी",३,०,०,०,०,०,०,इ,,०,,०,०,,०,०,
१३,प्रदेश खेलकुद परिषद्‌ धनगढी,१०,१६,४०३९,०,०,०,०,१०,१६,४०३९,१४५,,,,,१८९],३७०५
१४,"सुदूरपश्चिम प्रज्ञा प्रतिष्ठान, धनगढी",७,०,०,०,०,०,०,७,०,०,०,०,०,०,,,०
,"उद्योग, पर्यटन वन तथा वातावरण मन्तालय",१३,०,७,०७,०,०,७,१३,०७,७,७,०७,७,७,०,०,०
१५,"'खएतड क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति, डोटी",२,०,०,०,०,,०,इ,,०,०,,०,०,०,०,०
१६,"'बडीकेदार क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति,डोटी",१,०,०,०,०,०,०,१,,०,०,,,०,,०,०
१७,"बैजनाथ धाम पर्यटन विकास व्यवस्थापन समिति, अन्चाम",,,०,०,०,,०,४,,०,०,,०,०,०,०,०
१८,"रामारोशन क्षेत्र पर्यटन विकास तथा व्यवस्थापन समिति, अछाम",,,०,,०,०,०,,०,०,०,,,०,०,०,०
,जम्मा,२३७,९५,४९०५७,०,,३१,छ,२३७,३,४९०२६,६६०३,२६६३७,५९८१,०,५१००,३७१५,३७०५
