"कस,",मन्त्रालय/निकाय,'गत वर्षको मौज्दात,यस वर्षको आय,जम्मा,खर्च,बाँकी
१,प्रदेश सभा सचिवालय,७७,०,७७,७७,०
१.१,कार्यसञ्चालन कोष विविध,७७,०,७७,७७,०
,मुख्यमन्त्री तथा मन्त्रिपरिषदको कार्यालय,४१०६२,५५२०,४६४५८२,४६०९,४१९७३
२.१,कार्यसञ्चालन कोष विविध,४०८६४,५५२०,अ्द३द४,४६०९,४१७७५
२.२,मुख्यमन्त्री विपद्‌ कोष (विविध ख २.७।,१९८,०,१९८,०,१९८
डे,आर्थिक मामिला मन्त्रालय,६८५४४७,१५३९८२,८३९४३०,१४९२४८,६९०१८०
३.१,कार्यसञ्चालन कोष विविध,२१४८५,६५२५,२८०१०,१३१९७,१४८१२
३३,प्रदेश स्वरोजगार विकास कोष (विविध ख २.७),६५८९६२,१४७४५७,५०६४२०,१३६०५१,६५७०३६८
३३,आकस्मिक कोष (विविध ख ३.१),५०००,०,५०००,,५०००
,"'उच्चोग, पर्यटन, वन तथा वातावरण मन्त्रालय",१९७९३,६०७२०,८०५१३,५४३६७,२६१४६
४.१,कार्यसञ्चालन कोष विविध,१९७९३,६०७२०,८५०५१३,५४३६७,२६१४६
,"भूमिव्यवस्था, कृषि तथा सहकारी मन्त्रालय",३९२५,१०२६४,१४१८९,३५६८,९०३०९
५.१,कार्यसञ्चालन कोष विविध,३९२५,१०२६४,१४१८९,झ्द्व्द,१०३०१
,आन्तरिक मामिला तथा कानुन मन्त्रालय,२१५७३४,१६८०८,२३२५४२,६८०५८,१६४४८४
५.१,कार्यसञ्चालन कोष विविध,१८६१५७४,१६८०८,२०३३८२,६८०५८,१३५३२४
३,कार्यसञ्चालन कोष (विविध ख २.७),२९१६०,०,२९१६०,०,२९१६०
७,भौतिक पूर्वाधार विकास मन्त्रालय,१०१९,१८४९,र्व्ध्द,११७०,१६९८
७.१,कार्यसञ्चालन कोष विविध,१०१९,१८४९,२८६८,११७०,१६९८
३,सामाजिक विकास मन्त्रालय,९९६९,९९०६८९,१०८०६५८,९८४१८५,९६४७३
५.१,कार्यसञ्चालन कोष विविध,८९९६९,९९०६८९,१०६०६५८,९८४१८५,९६४७३
९,प्रदेश नीति तथा योजना आयोग,०,०,०,०,०
६.१,कार्यसञ्चालन कोष विविध,०,०,०,०,०
