,,बिल्ला,,बेरुजु रकम,,,,,आय,,,,,,ब्यय,,
,,,,रमा,प्रतिशत,,,प्रदेश बुसान,,०,,,चालुखर्ष,,कन्यखर्ष,,
१,"नगरपालिका, बाजुरा",बाजुरा,११००२८१,१७१३८,१.५६,२४५३५,३०१८४४,३४८८६,९०७८४,३९७४,११८६८३,२५०४७१,३३२३४५,५१५९४५,१४५८७०,२४९८१०,२५१९६
,"बडिमालिका नगरपालिका, बाजुरा",बाजुरा,९७४१३६,१४३२,१:४७,३१९७४,२४९१४०,२७९९२,८७२९७।,७६६२,११०७९६,ध्य२८९७,२७१७३६,६९९२,१३२४११,४९१२३९,र३६३२
३,"हिमाली गाउँपालिका, बाजुरा",बाजुरा,७९९७०४,२५०६,०.६९,२१४१६,२०१५९५,३२५७४५,७८८३०,३१४४,५०७१६,३९६८६०,१९९३८८,१०४९१५,९८५४१,४०२८४४,१५४३२
,"बुढीगंगा नगरपालिका, बाजुरा",बाजुरा,१३११२४१,२४५३६,१.८७,२६२२१,३८६५००,४०२५७,८३३८२,३०९३,१२४६९६४५,६३८१९७,३४९१५३,१६४७५४,१५९१३७,६७३०४४,-८६२६
५,"बुढीनन्दा नगरपालिका, बाजुरा",बाजुरा,१०८३३६२,९१७५,०.८५,१३७७६,२९४६५३,२९३८८,"९४०४४,",४२१५,११६१०८,२३८४०८,३२१९५३,९२०९०,१३०९११,२४४९५४,७२३०
६,"'खपड छेडेदर गाउँपालिका, बाजुरा",बाजुरा,११६३३८४५,२४३८७,२.१,२८०५६८,३१९३४८,३१९२५,८२५६६,२५९९,१४८७७५,२८०५२१३,२७०७७२,१२८००४,१७९३९३,१७८१७२,६५५६०९
७,"गौमुल गाउँपालिका, बाजुरा",बाजुरा,७४१६२६,१६०८,०.७६,३१५२३,२०७५१९,२७४२६,६७१७७,२९७६,२७३८६,३६२४८४,२२७६६९,७५३८९,७६०८४,३७९१४२,१४८६५
८,"जमन्राथगाउँपालिका,बाजुरा",बाजुरा,ब४३०,७९०२,११९,१७९४५४,१७९०६२,२४४२०,६३६३७।,१८६७,ब३९३६,इइ२९२२,१७०४४९,७४५५,,इइ१९०५,८९६८
,,जानु,५३२०५१,९०७४,२.२९,पइ४४९,२३९३१६,इ३४७९९,६७१४,३५७८,६८००३,४१२८८०,र४४६८४५,८६२३,७६८६३,४१९१७१,७१४८
१०,"केदारस्बुगाउँपालिका,बझाङ",बझाङ,१४२९२०६,७०९१,११२,२६६४२,४८७७२७,२७०६२,५७४६७],६३६६,१४३०५६,७६१७७३८,३७६९२६,२०७४०७,१८२९९५,७६७४२५८,र२०९९२
११,"बित्वडचिर गाउँपालिका, बझाङ",बझाङ,। ११४७४८०,६३७,०.०६,१९८,र्थइरण्ध,२७२४७,७६६६,इ२७४,बइइङट,७२०३,२८९०४७,,२०३९३०,२७४४७१७,इ४७५४
१२,"सूर्मागाउँपालिका,बझाङ",बझाङ,६७२८३०,२८३९२,४.२२,१५८९५,२११३८२,४९६३१,६७८८९,२२८४,२५३५,३३३७२१,१६१७०३,१२१७३०,५६७६,३३९१०९,१०५०७
१३,"तलकोटगाउँपालिका,बझाङ",बझाङ,८६२९७८,१८६८३,२.१६,२३३८१,२४०९६६,३१३०६,८००९७,३३१५,७३१०८,४२८७९२,२६१३५१,८३८८०,५८९५४.,४३४१८६,१७९८७
१४,"थलारा गाउँपालिका, बझाङ",बझाङ,११३१७९२,१२०४६,१.०६,२२९२७,४१३८४२,३३८०१६,७९४२०,६८९८,२८९२५,२६२९०१,४१७६५९,१२०१४१,३१०९१,५६८८९१,१६९३४
१५,"दुर्गायली गाउँपालिका,बझाङ",बझाङ,८८७०८४,२३०५४,२५.९८,१५९५०,३३४५४५९१,३५४३४५,६२८४३,२७५६,२०९०,४३९७१४५,२३८४४१,१०२३२२,१०६६०६,४४७३६९,८२९६
