क्र.सं.,मन्त्रालय / निकायको नाम,'लेखाउत्तरदायी अधिकृतहरूको नामावली,देखि,अति सम्मा,आ.व. २०८१।८२ को बेरुजु,लेखापरीक्षण अङ्गको तुलनामा बेरुजु प्रतिशत
१,"प्रदेश सभा सचिवालय, धनगढी",सचिव श्री देव बहादुर बोगटी,२०८१।४।१,२०८२।३।३१,,
,,सचिव श्री वेद प्रसाद भण्डारी,२०८१।४।१,२०८१।७। २८,,
२,"मन्त्रिपरिषदको मुख्यमन्त्री तथा कार्यालय, धनगढी",सचिव श्री लिलाधर सुवेदी कमल,२०८१।७।२६९,२०८१।९।२१,,०४४ हि
,मन्त्रिपरिषद्को =,सचिव श्री बसन्त प्रसाद कोइराला,२०८१।९।२२,२०८२।१।१६,१५७१,
,,सचिव श्री यज्ञ पुरी,२०८२।१।२२,२०८२।३।३१,,
३,"अन्तरिक मामिला तथा कानुन मन्त्रालय, धनगढी",सचिव श्री सुशिल वैद्य,२०८१।४।१,२०८१।९। २४,,दश
,,सचिव डा. विरेन्द्र कुमार मिश्र,२०८२।२।११,२०८२।३।३१,२८२३३,
,"अर्थिक मामिला मन्त्रालय, धनगढी",सचिव श्री झलकराम अधिकारी,२०८१।४।१,२०८२।१।१५,,
,,सचिव श्री राजेन्द्र कुमार हमाल,२०८२।१।१६,२०८२।३।३१,०,
श,"उद्योग, पर्यटन, वन तथा वातावरण मन्त्रालय धनगढी",सचिव श्री प्रमोद भट्टराई,२०८१।४।१,२०८२।२।१०,,१.९१
,,सचिव श्री दिर्घ नारायण कोइराला,२०८२।२।११,२०८२।३।३१,४४१४२,
,सहकारी धनगढी,सचिव श्री यज्ञ राज जोशी,२०८१।४।१,२०८२।१।१३,,१.६९
,"भूमि व्यवस्था कृषि तथा मन्त्रालय, हन",सचिव श्री शंकर शाह,२०८२।१।१४,२०८२।३।३१,३२५०४,
७,"भौतिक पूर्वाधार विकास मन्त्रालय, धनगढी",सचिव श्री सुरत कुमार बम,२०८१।४।१,२०८२।१।२९,,२.३६
,,सचिव श्री प्रेम दत्त भट्ट,२०८२।२।१,२०८२।३।३१,२७६६३१,
५,सामाजिक विकास धनगढी,सचिव श्री चक्रपाणी पाण्डे,२०८१।४।१,२०८१।११।२३,,१.१८
,"मन्त्रालय,",सचिव डा. हेमराज रेग्मी,२०८१।१२।७,२०८२।३।३१,२२१६१८,
९,"प्रदेश नीति तथा योजना आयोग, धनगढी",सचिव श्री बिर बहादुर धामी,२०८१।४।१,२०८२।३।३१,१९०,०.६३
१०,"प्रदेश लोक सेवा आयोग, धनगढी",सचिव श्री बेद प्रसाद भण्डारी,२०८१।४।१,२०८१।७। २५,,
,,सचिव श्री बसन्त प्रसाद कोइराला,२०८१।९६।२८,२०८२।१।१५,०,०
,,सचिव श्री ओम बहादुर खड्का,२०८२।२।६,२०८२।३।३१,,
११,"मुख्य न्यायाधिवक्ताको कार्यालय, धनगढी",उपन्यायाधिवक्ता श्री टेक बहादुर थापा,२०८१।४।१,२०८२।३।१४,०,
