नं,मन्त्रालय/निकायको,असुल गर्ने,,भएको,,गर्न बाँकी
सि.न.,नाम,,रका,कार्यलय संचय,रका,असुल रकम
१.,सरकारी कार्यालयतर्फ,३,९५,१,१०,
१.१,प्रदेश सभा सचिवालय,०,०,०,०,०
१.२,प्रदेश लोक सेवा आयोग,०,०,०,०,०
१.३,मुख्य न्यायाधिवक्ताको कार्यालय,०,०,०,०,०
१.४,मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,०,०,०,०,०
१.५,आर्थिक मामिला तथा योजना मन्त्रालय,०,०,०,०,०
१.६,उद्योग वाणिज्य भूमि तथा प्रशासन मन्त्रालय,०,०,०,,०
१.७,कृषि तथा पशुपन्छी विकास मन्त्रालय,०,०,०,०,०
१.८,"खानेपानी, उर्जा तथा सिँचाई मन्त्रालय",३,६५,१,१०,
१.९,आन्तरिक मामिला तथा कानून मन्त्रालय,०,०,०,०,०
१.१०,संस्कृति तथा पर्यटन मन्त्रालय,०,०,०,०,०
१.११,सहकारी तथा गरिवी निवारण मन्त्रालय,०,०,०,०,
९.९%,वन तथा वातावरण मन्त्रालय,०,०,०,०,०
१.१३,भौतिक पूर्वाधार विकास मन्त्रालय,०,०,०,,
१.१४,युवा तथा खेलकुद मन्त्रालय,०,०,०,०,०
१.१५,सामाजिक विकास मन्त्रालय,०,०,०,०,०
१.१६,स्वास्थ्य मन्त्रालय,०,०,०,०,०
१.१७,"श्रम, रोजगार तथा यातायात मन्त्रालय",०,०,०,०,०
१.१८,प्रदेश नीति तथा योजना आयोग,०,०,०,०,०
२.,समिति तथा अन्य संस्थातर्फ,१,७,१,७,०
,जम्मा,,१०२,,१७,
