राजस्व सङ्गेत नं.,राजस्व शीर्षक,जम्मा
१११४१,आयमा कर,१४
११३१५,बाँडफाँटबाट प्राप्त हुने घरजग्गा रजिष्ट्रेसन दस्तुर,६१५३००३
११४११,बाँडफाँट भई प्राप्त हुने मूल्य अभिवृद्धि कर,८०९४१८१
११४२१,बाँडफाँटभई प्राप्त हुने अन्त शुल्क,२८९६१११
११४५६,बाँडफाँटबाट प्राप्त हुने सवारी साधन कर,६१७३५१०
११४७१,बाँडफाँटबाट हुने मनोरञ्जन कर,६४७०६
११४७२,बाँडफाँटबाट प्राप्त हुने विज्ञापनकर,५२६३६
१४१५१,सरकारी सम्पत्तिका बहालबाट प्राप्त आय,८९९३
१४१५३,बाँडफाँट भई प्राप्त वन रोयल्टी,१०३९७३
१४१५४,बाँडफाँट भई प्राप्त खानी तथा खनिज सम्बन्धी रोयल्टी,४२३६४
१४१५६,बाँडफाँट भई प्राप्त विद्युत सम्बन्धी रोयल्टी,४०३६५५
१४१५७,बाँडफाँट भई प्राप्त दहत्तर बहत्तरको विक्रिबाट प्राप्त हुने आय,४८७५७७
१४१५८,बाँडफाँट भई प्राप्त पर्वतारोहण वापतको रोयल्टी,१८३७६
१४१५९,अन्यक्षोतबाट प्राप्त बाँडफाँट नहुने रोयल्टी,१४४४
१४१९१,पर्यटन शुल्क,इद
१४१९२,पदयात्रा शुल्क,
१४२११,कृषि उत्पादनको बिक्रीबाट प्राप्त रकम,३६९०७
१४२१२,सरकारी सम्पतिको बिक्रीबाट प्राप्त रकम,५६२२
१४२१३,अन्य बिक्रीबाट प्रापत रकम,३३१
१४२१९,अन्यसेवा शुल्क तथा बिक्री,६३०३४
१४२२३,शिक्षाक्षेत्रको आम्दानी,६९७
१४२२४,परीक्षा शुल्क,१२३७७८
१४२२५,यातायात क्षेत्रको आम्दानी,६६२८७१
१४२२९,अन्य प्रशासनिक सेवा शुल्क,८०२६९
१४२५३,व्यावसाय रजिष्ट्रेसन दस्तुर,३५९८६७
१४२५४,रेडियो/ एफ.एम.सञ्चालन दस्तुर,३२५१
१४२५५,टेलिभिजन सञ्चालन दस्तुर,२६४४
१४२५६,"चालक अनुमतिपत्र, सवारी दर्ता किताब (८१०९ ) सम्बन्धी दस्तुर",२३७५०२४
१४२६४,वन क्षेत्रको अन्य आय,२११९७
१४३११,"न्यायिक दण्ड, जरिवाना र जफत",८९१
१४३१२,"श्रशासनिक दण्ड, जरिवानार जफत",६२९१९
१४३१३,घरौटी खदरत्याहा,२२३४
१४५११,बिमा दावी प्राप्त,९३६
१४५२९,अन्य राजस्व,२७७९
१५१११,बेर्जु,९४४५८७
१५११२,निकासा फिर्ता,थ्व
१५११३,अनुदान फिर्ता,८९६२४
,जम्मा,२८४९०१७३
