कस.,जिल्ला,'मन्त्रालय/कार्यालय,अन्तिनणजट,निकासा /खर्च
४१,मकवानपुर,"नापी कार्यालय, शिखरकोट",६००,५९८
४२,मकवानपुर,"नापी कार्यालय, हेटौडा",१०००,९९८
४३,भक्तपुर,"भुमि सुधार तथा मालपोत कार्यालय, भक्तपुर",१५००,१३८९
४४,भक्तपुर,"नापी कार्यालय, भक्तपुर",१०००,९९७
४५,ललितपुर,"भुमि सुधार तथा मालपोत कार्यालय, ललितपुर",१५००,१४९९
४६,ललितपुर,"मालपोत कार्यालय, गोटिखेल",५००,७९९
४७,ललितपुर,"नापी कार्यालय, गोटिखेल",६००,५९९
४८,ललितपुर,"नापी कार्यालय, ललितपुर",१०००,१०००
४९,काठमाडौँ,"भूमि सुधार तथा मालपोत कार्यालय, डिल्लीबजार",१५००,१४९१
५०,काठमाडौँ,"मालपोत कार्यालय, टोखा",११००,१०९९
५१,काठमाडौँ,"मालपोत कार्यालय, साँखु",१०००,
५२,काठमाडौँ,"मालपोत कार्यालय, चावहिल",१५००,१४९९
५३,काठमाडौँ,"मालपोत कार्यालय, मनमैजु",११००,१०९९
५४,काठमाडौं,"मालपोत कार्यालय, कलंकी",१५००,१४९५
५५,काठमाडौं,"नापी कार्यालय, कर्लंकी",१०००,१०००
५६,काठमाडौं,"नापी कार्यालय, टोखा",७००,६३
५७,काठमाडौँ,"नापी कार्यालय, साँख्‌",७००,६९६
५८,काठमाडौँ,"नापी कार्यालय, चावहिल",१०००,९९८
५९,काठमाडौँ,"नापी कार्यालय, मनमैजु",७००,६९९
६०,काठमाडौं,"नापी कार्यालय, डिल्लीबजार",१०००,९९९
६१,दोलखा,"जिल्ला प्रहरी कार्यालय, दोलखा",३६००,३४७९
६२,दोलखा,सशस्त्र प्रहरी बल नेपाल नं. १८ गुल्म हे.क्वा. दोलखा,५००,४९९
६३,रामेछाप,जिल्ला प्रहरी कार्यालय रामेछाप,२५२७२,२३२०४
६४,रामेछाप,"कारागार कार्यालय, रामेछाप",१५००,०
६५,सिन्धुली,जिल्ला प्रहरी कार्यालय सिन्धुली,१४०९०,१३२११
६६,सिन्धुली,"बागमती प्रदेश तालिम केन्द्र, दुघौली, सिन्धुली",२५००,२१३६
६७,सिन्धुली,"इलाका प्रहरी कार्यालय भिमान, सिन्धुली",१०००,९९८
६८,काभ्रेपलाबोक,"जिल्ला प्रहरी कार्यालय, काभ्रेपलाशोक",३०००,२०३७
६९,सिन्धुपाल्चोक,"जिल्ला प्रहरी कार्यालय, सिन्धुपाल्चोक",२३९५,२३६९
७०,सिन्धुपाल्चोक,"सशस्त्र प्रहरी बल नेपाल नं. १६ गण हे.क्वा., सिन्धुपाल्चोक",५००,४९
७१,नुवाकोट,"जिल्ला प्रहरी कार्यालय, नुवाकोट",२०००,१८०४
७२,नुवाकोट,"कारागार कार्यालय बिदुर, नुवाकोट",२५००,२३५६
७३,धादिङ,"जिल्ला प्रहरी कार्यालय, धादिङ",४०००,३४१८
७४,चितवन,जिल्ला प्रहरी कार्यालय चितवन,१४३८,९३७
७५,चितवन,"राजमार्ग सुरक्षा तथा ट्राफिक व्यवस्था कार्यालय, रामनगर, चितवन",७०००,६९५०
७६,चितवन,"इलाका प्रहरी कार्यालय, रत्ननगर, टाँडी, चितवन",७०००,६९६४
७७,चितवन,"सशस्त्र प्रहरी बल नेपाल विपद्‌ व्यवस्थापन तालिम शिक्षालय कृरिनटार, चितवन",५००,४९५
७८,चितवन,"कारागार कार्यालय, चितवन",२०००,१९९९
७९,मकवानपुर,जिल्ला प्रहरी कार्यालय भकव॥न५ुर,१११८,११०३५
८०,भमकबानपुर,बागमती प्रदेश प्रहरी कार्यालय,७२५००,अ६व्२्य
८१,मकवानपुर,"नेपाल प्रहरी विशेष सुरक्षा गण, रातोमाटे, भकवानपुर",१०००,१०००
८२,नकबानपुर,"सशस् प्रहरी बल नेपाल नं. ३ गढीमाई, भकबाणपुर",३०००,३०००
८३,नकबानपुर,"इलाका प्रहरी कार्यालय ५%रतारी, मकवानपुर",१५००,१४८९
८४,बकबानपुर,"सशस्त्र प्रहरी बल नेपाल नं. १४ गण हे,क्वा., मकवानपुर",५००,४९०
दश,नकबानपुर,"इलाका प्रहरी कार्यालय पालुङ, भकःवानपुर",५६०,शश्ठ
८६,दोलखा,जिरी प्रविधिक शिक्षालय,७९३३४,श१ददश
