कसै,स्थानीय तह,बिन्ता,' लेखापरीक्षण रकम,र],,सुरु मौज्दात,बहार,ेकाबाट,पा,आन्तरिक बाय,बन्यआाय,कुसबाय,चा खर्च,पुँजीगत खर्ष,ित्तिय बर्ष,कुल खर्ष,
१०९,"फिङ्गल गाउँपालिका, सिन्धुली",सिन्धुली,११७३१३९,१५०४८,१.२८,३५२३५,३२९९१०,१२६७३,१०३९३१,११९०९,९०४०४,५८८८२७,३६२२५९,९९२१४,१२२८३९,२५८४३१२,३९७५०
११०,"कमलामाई नगरपालिका, सिन्धी",सिन्धुली,इ२२१२३३,२४२२९,०८,,७४१४०५,बरइय,३०२९२१,इ४१४४,४१२०२३,९४९३०८८,८इ०३३४,इ१०७२६,४६७१०२,१६०६१६४,१५७०४९
१११,"गोलन्जोर गाउँपालिका, मिन्छुली",सिन्धुली,,४७७४४,३,२१४१,३२३६६०,६४४०३,ब१४४२९,४८९६,क४६८२१,६७४३०९,३४०४९७,१२२९०३,बद्रह्द,७३९९,१३४६२
११२,"मरिण गाउँपालिका,",चिन्छ,म३४७०४६,इडइ२६,२००५,२०६६७,३४७०१६,६इ४००,३६४०,बढ्दा,(०%,६७२२७०,३७३७,बर,,इ७४७७७,१९६०
११३,"हरिहरपुरगढी गाउँपालिका, सिन्धुली",सिन्धुली,१४४४६६३,६६४६०,४.६,६४९५,४२३९९८,४६०५३,१४६३४१,९४५००,९९७६६,७३१७६५,३३१४३०,२०३९२४,१७७५४४,७१२८९९,७५३६१
११४,"घ्याङ्सेख गाउँपालिका, सिन्धुसी",लिन्दुली,द०४९४६,७०७४,,०,२१४९१३,६२१९०,२६७४,,इ९्२६२,,२४९१३४,९९४८२,१३०८,इप,१२४४
११५,"सुनकोशी गाउँपालिका, सिन्धी",सिन्धुली,१४४१४८०,२१९२७,११,क०६६४९,३७०९२४,४७६४,क०६०४९,६०६०,१६०९४४,७१३७५२,इ८१५३३,१३०००८,२२४९८७,,ब२४७२
११६,"डुवीती नगरपालिका, सिन्धुली",सिन्धुली,२४६४१४६,२११६४०,०८३,०७६८,०६४९२,७४३८,२०९६७५,,३२७६४९८,१२८६६११,,र२६२३४०,३२९४५४५,१२७७४३४५,१९०४
११७,"तीनपाटन गाउँपालिका, सिन्धुली",सिन्धुली,१९३५३०२,९१९९१,४.७५,४०३५७,२९१२५,६०१२५,१५२८४२,१०७१६५,२०९७७८,९६२५८६,२५६७२५२,२००६३१,२०४८३२,९७२७१६,३०२२७
,जम्मा,,२४५३२९६७०,३१८५७२४,१.२९,३२१३६२९१,५१००१११७,७७०२४१३,२२१४१२९६,१६८१९८८४,२४५३९५१५,१२२२०४२२४,५६६९३१६४,३८६९२६१९,२९१४५५६१,१२४४५३१३४४,२९८०९१७१
