क्रस,,एकाइ,२०८०।८१ अनुमान,दोस्रो पोणनाको लक्ष्य २०८५।८६,सोह पोजनाको लक्ष्य २०८५।८६
१,औसत आर्थिक वृद्धिदर (आधारभूत मूल्यमा),प्रतिशत,३.६,,७.३
२,प्राथमिक क्षेत्रको वृद्धिदर (औसत),प्रतिशत,२.३,४.५,३.६
३,डितीय क्षेत्रको वृद्धिदर (औसत),प्रतिशत,१.२,७.०,९.४
४,सेवा क्षेत्रको वृद्धिदर (औसत),प्रतिशत,,६.०,७.१
५,कुलराष्ट्रिय उत्पादन (प्रचलित मूल्यमा),रु.अर्ब,२०५४.४,३१२३.०,१०५१२.४५
६,कुल लगानी (प्रचलित मूल्यमा),रु.अर्ब,,,११९०३.६
७,प्रतिव्यक्ति आय,अमेरिकी डलर,१४८५,३४५०,२९१३
८,गरिबी रखासुनिको जनसङ्ख्या,प्रतिशत,१२.६,७.६,१२
९,औसत आयु,वर्ष,७२.४,७५,७३
१०,मानव विकास सूचकाङ्क,,०.६६९,०.६८५,०.६१०
