विवरण,२०८१।८२,२०८०।८१
"१. राजस्व, अनुदान र अन्य प्राप्ति",३९९५६९९४,३७६१११५८४
१.१. राजस्व,२८३०५९१५,२५५०४३९३
१.२. अनुदान,११४६६८२१,११३५९१६९
१.३. बेरूजु तथा अन्य प्राप्ति,१८४२५८,७४७५९६
२. वित्तीय व्यवस्थाबाट प्राप्ति,७८४३३६,७०२७००
२.१. लगानी फिर्ता,७८४३३६,
३. यस वर्षको खुद प्राप्ति (१५२),४०७४१३३०,३५३९३५४५
४. भुक्तानी,४६४०३३११,४४५१३२०३
४.१. सञ्चित कोष माथि व्ययभार हुने ९क४१।८ खर्च,१४०३८,१३६२७
४.२. विनिबोजन ऐनद्वारा भएको खर्च,४६३८९२७२,४४४९९५७६
'क. चालु खर्च,१६९९६१३८,१५९५८८७६
'ख. पुँजीगत खर्च,२९३९३१३४५,२८५४०७००
