निकाय,,,,खर्च प्रतिशत
सन्तालन,चालु,निक,जम्मा,
प्रदेश सभा सचिवालय,२१०६०३,४४९३४५,२५५४५३८,०.५४५
प्रदेश लोक सेवा आयोग,६६५०८,७२३२,७३७४०,०.१६
मुख्य न्यायाधिवत्ताको कार्यालय,१८४११,१२६६,१९६७७,०.०४
मुख्यमन्त्री तथा सन्जिषरिषद्को कार्यालन,२३२९४७,१४००६,२४६९५३,०.५३
आर्थिक मामिला तथा योजना मन्त्रालय,११८८१३,३६८७६,१५५६८९,०.३४
", वाणिज्य, भूमि तथा प्रशासन मन्त्रालय",४१९३७३,१०६६३१,१२६००५,१.१३
कृषि तथा पशुषन्छी विकास भन्त्रालय,१४९२१९६,१९४१९९,१६८६३९४५,३८३
"खानेपानी, उर्जा तथा सिँचाइ",३०५८२७,६६४६७०३,६९५२५३०,१४.९८
आन्तरिक मामिला तथा कानुन भन्त्रालय,२२२०९६,१५४५९५४,३७८०५०,०.८१
"संस्कृति,पर्यटन तथा सहकारी मन्त्रालय",१७५६५२,१८२८८२१,२००४४७३,४.३२
सहकारी तथा गरिवी निवारण भन्त्रालय,२४१३६,८४६४,६२६००,०.१३
वन तथा वातावरण मन्त्रालय,८३८१५९,१८२६१९३,२६६४३५२,२.७४
भौतिक पूर्वाधार विकास भन्ना।स४,२९७३७२,१७०४६४२१,१७३४३७९२,३७.३८
युवा तथा खेलकुद भन्नासाथ,२६०९००,३८९९६५,६५०८६५,१.४
सामाजिक विकास मन्त्रालय,२६७४५१४,३४२२८१,३०१६७९६,६.५
स्वास्थ्य भन्त्रालय,२७३१३५०,२५६५२९६,३२९६६४५,७.१
"श्रम, रोजगार तथा बातावात भन्त्रालय",३९७९२३,१७५८६३,१७३७८६,१.२४
प्रदेश नीति तथा योजना आयोग,२६९५३,२०२९,२८९८३,०.०६
स्थानीय तह,६४६६४४२,०,६४६६४४२,१३.९४
जम्मा,१७०१०१७६,२९३९३१३५,४६४०३३११,१००
