कार्षालन,नाम,निनिबाजित बजेट
,,
,फुटबबर न्वानुफ्याकचर्स एशोसिवलन अफ नेपालको खहकार्मा कालिगढ जुता तालिम,३०००
,सुन चाँदी व्यवसायी महासङ्घको खहकार्षमा कालिगढ तालिम,२०००
"उद्योग. उद्योग वाणिज्य कार्यालय,",आोतीदेव स्मृति केन्द्रको खहकार्थमा महिला क्षशत्तिकरणको लागि उच्चमशीलता तालिम,१०००
काठमाडौं,. श्रगतिशील महिला समाज महिला उच्चमशीलता तालिम,६००
,कीर्तिपुर नगर महिला उद्यम क्षमाजको सहकार्यमा महिला उद्यम सीप छ विकास तालिम,१०००
,खीतापाइला जेसिजको सहकार्षमा उच्चमशीलता तथा ई कमर्श तालिम,५००
"उद्योग वाणिज्य कार्षालथ,",बागमती उद्योग परिषद महिला समितिको सहकार्षमा हल्तकला उच्चमशीलता विकास तालिम,८००
चितवन,रोग बाणिज्य -. ~ रत्ननगर उद्योग वाणिज्य भहासङ्घको सहकार्थमा नयाँ न्वानसाथिक तालिम,६००
उद्योग वाणिज्य,"बागमती प्रदेश हत्तकला सङ्घको समन्वयमा काठकला, हल्तकला प्रर्वघन तालिम",२०००
", सालक",,
,फुटबेयर न्यानुक्याक्चर्स एशोसिवसन अफ नेपालको सहकार्षमा जुता कालिगङ तालिम,२००
"उद्योग वाणिज्य - कार्यालय, नकबानपुर",लघु उच्चमीसङ्घ मकवानपुरको सहकार्यमा स्वेदशी नेपाली कागज उत्पादन सम्बन्धी तालिम,००
,,
"उद्योग वाणिज्य कार्यालय, भक्तपुर",फुटबबर न्वानुफबाकचर्स दुशोसिवलन अफ नेपालको सहकार्यमा कालीनढ जुत्ता तालिम,२०००
"उद्योग वाणिज्य कार्यालय, काभ्रेपलाञ्चोक",नर - बागमती श्रोह्कुनको क्षहकार्षमा महिला उच्चनशीलता विकास तालिम,१५००
