खर्च शीर्षक,सुरुबबेट,अन्तिम बजेट,खर्च,= प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक / सुविधा,३६४७१९,३६४७१९,२५१५०८,६८.९५
२१२०० कर्मचारीको सामाजिक सुरक्षा,१७७५,२७७५,३०३८,१२.६०
२२१०० सेवा महसुल,१९१०६,१९१०६,१४४७१,७५.७४
२२२०० पुँजीगत क्षम्पतिको सञ्चालन,७०२८९,७०२८९,६११४०,व६.९८
२२३०० कार्यालय सामान तथा सेवा,२७८१०,२७८१०,२५१५६,९०.४४५
२२४०० सेवा तथा परामर्श खर्च,१०६४१०,१०६४१०,८५६०७,८३.२६
२२५०० कार्यक्रम सम्बन्धी खर्च,१४०४०७९,१४०४०७९,९८३३९१,७०.०३
२२६०० र भ्रमण खर्च,३०३३७,३०३३७,२६५१३,०७.३९
२२७०० विविध खर्च,१०६७३,१०६७३,९३९१,८७.९८
२६४०० सामाजिक सेवा अनुदान,९३१९०,१३०००,१२४३७,९५.६६
२७२०० सामाजिक सहायता,११६८०,११६८०,१०५१८,१०.०५
२८१०० सम्पत्ति सम्बन्धी खर्च,८२९३,८२९३,६०२६,७२.६६
जम्मा,२१५२३६१,२१५२३६१,१४९२१९६,६९.३२
३११००स्थिर सम्पत्ति प्राप्ति खर्च,३५४१०४५,३५४१०५,१९४१९९,र४.८४
कुल जम्मा,२५०६४६६,२५०६४६६,१६८६३९५,६७.२८
