खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,निकासा/खरः,प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२६६३९३,२६६३९३,२०४०४९,७६.५९
२१२०० कर्मचारीको सामाजिक सुरक्षा,२२०४,२२०४,११३२,५१.३६
२२१०० सेवा महसुल,१२७९२,१२७९२,१०६७५,८३.४५
२२२०० पुँजीगत सम्पतिको सञ्चालन,२३३१४,२३३१४,१९६४१,८४.२४
२२३०० कार्वालय सामान तथा सेवा,१८२४४९,१८२४४९,५३५५०,२९.३५
२२४०० सेवा तथा परामर्श खर्च,५१११५,२५१११५,४६३४०,९०.६४५
२२४५०० कार्यक्रम सम्बन्धी खर्च,५९४८५,५९४८४५,३५८५७,६०.२७
"२२६०० अनुगमन, र भ्रमण खर्च",७७९४,७७९४,,७५.५३
२२७०० विविध खर्च,२५५९,२५५९,२२३४,९४.१५
२८१०० सम्पत्ति सम्बन्धी खर्च,२२१४०,२२१४०,१५४५४५८,७०.२६
जम्मा,६३३२४५,६३३२४५,२९७९२३,६२.८ठ३
खर्च,,,,
३११००स्थिर सम्पत्ति प्राप्ति खर्च,३१३६३६,३१३६३६,१७५८६३,५६.०७
जम्मा,९४६८८१,९४६८०८१,२७३७८६,६०.५९
