खच शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक सुविधा,४८८५७७,४८८५७७,२३३९५१६,६९.१९
२१२०० कर्मचारीको सामाजिक सुरक्षा,३२४६,३२४६,७९७,२४.५७
२२१०० सेवा महशुल,२१४९४,२१८४४,१५८२२,७२.४३
२२२०० पुँजीगत क्षम्पतिको सञ्चालन र मर्मत,२७६२८,२८०२८,२३८४७,०५.०८
२२३०० कार्यालय सामान तथा सेवाहरू,७००३७,७००३७,६५१०६५,८७.१९
२२४०० सेवा तथा परामर्श खर्च,१११७२१,९९३३६०६,९५५७०,.०
२२४५०० कार्यक्रम सम्बन्धी खर्च,८२१९४४५,८१०२२९,६०७५१९,७४.९८
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१०७०९,१०७१९,८९२७,व३.२८
२२७०० विविध खर्च,३७९०,३७९०,३२३२,८५.२९
२६००० अन्य,१७५२५१७२,१८३३२४२,१४६६५२३,८०.००
२७००० उपदान तथा सेवा,४९८वर२,श्दववर,४२२४८,व६.४३
२८१०० सम्पत्ति सम्बन्धी खर्च,१३५२६,१३५२६,९३४८,६९.११
२८२०० फिर्ता खर्च,,१००,१००,१००.००
जम्मा,२२७७७२७,२४४४५९७,२६७४५१५,७७.६४
खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,५३८७८५,४९५२८५,३४२२८१,६९.११
जम्मा,२९१६५१२,२९३९८८२,२०१६७९६,७६.५२७
