खर्च शीर्षक,सुरुबबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,६५५१५१,६७९६३०,५५६८०६,८१.९३
२१२०० कर्मचारीको सामाजिक सुरक्षा,१६४२१,१६४२१,६६१०,४०.२५
२२१०० सेवा महसुल,३६२१८,४९४८९,४६२९०,९३.१४
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,६३९९२,६५६५९२,५६८५८,८५.३ठ
२२३०० कार्यालय सामान तथा सेवाहरू,४४६२७,४४८७३,३९९९९,८९.१४
२२४०० सेवा तथा परामर्श खर्च,४५७४४०,४६३५७६,४१६५४५९,८९.८६
२२५०० कार्थक्रल सम्बन्धी खर्चहरू,१८६०८२८,१७९७३५५,१३६८३५१,७६.१३
२२६०० अनुनमन २ूल्याङ्गन र भ्रमण खर्च,२१४९५,२२१४,१५४८४,७०.२५
२२७०० विविध खर्च,१०१३३,१०७९३,१००५६,९३.१७
२७२०० सामाजिक सहायता,२५०३६३,१९८०६२,१९०६२०,९६.२४
२८१०० सम्पत्ति सम्बन्धी खर्च,२७५९३,२८५७८,२३६१८,८२.६४५
जम्मा,२४४४२६१,३३७७५५३,२७३१३४५१,८०.८७
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,५९६२४१,७४३४४८,५६५२९५,७६.०४
तल जम्मा,४०४०५०२,४१२१००१,३२९६६४६,७९.९९
