,,ब्ब्त्य५५०१५५८८५५०५५ आधार वर्ष,कोउपलण्न
सरकारी अस्पतालको शैया,सङ्ख्या,८३६,
प्राथमिक स्वास्थ्य केन्द्र,सङ्ख्या,४०,
आयुर्वेद औषधालय,सङ्ख्या,२१,
वर्थिङ सेन्टर,सङ्ख्या,३९८,
नागरिक आरोग्य केन्द्र,सङ्ख्या,५१,
पोषण पुनःस्थापना केन्द्र,सङ्ख्या,,व्‌
स्वास्थ्य बिमामा आवद्ध जनसङ्ख्या,प्रतिशत,३०,
मातृ मुत्युदर प्रतिलाख जीवित जन्ममा,सङ्ख्या,१,९०
औसत आयु,वर्ष,७२.४,७३
पाँच वर्षभुनीको बाल मृत्युदर (प्रति हजार जीवित जन्ममा,सङ्ख्या,२४,२४
नवजात शिशु मृत्युदर,सङ्ख्या,१७,१५
कुल प्रजनन्‌ दर,प्रतिशत,१.६,१.६
स्वास्थ्य संस्थामा सुत्केरी हुने,प्रतिशत,(५३,९०
प्रजनन उमेरका महिलामा रक्तअल्पता,प्रतिशत,३४,
विद्यालय नर्स एक भाध्यमिक विद्यालय एक नर्स,सङ्ख्या,५१९,(३%
चुड्कोषन (पाँच वर्ष मुनीका बालबालिका),प्रतिशत,१८,१७
