खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,१६६०१,१६६०१,११११३,६६.९४
२१२०० कर्मचारीको सामाजिक सुरक्षा,१६८,१६८,श४,३े२.१४
२२१०० सेवा महशुल,२९४,५९४,२५३,४२.४५९
२२२०० पुँजीगत सम्पत्तिको सञ्चालन र मर्मत,४६५२,४६५२,२४३४,४.४७
२२३०० कार्ालष सामान तथा सेवा,१४७२,१६७२,१४४०,बव६.१२
२२४०० सेवा तथा परामर्श खर्च,५८३२,५८३२,४४९९,७७.१४
२२४५०० कार्यक्रम सम्बन्धी खर्च,७७२५,९२२३,३३१२,३५.९१
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१२२४,१२२४,१०२९,८३.९९
२२७०० विविध खर्च,८४०,८४०,५३०,६३.१०
२८१०० सम्पत्ति सम्बन्धी खर्च,२४००,२४००,२१९१,१९१.२५
जम्मा,४१५०८,४३२०६,२६९५४,६२.३८
पूँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,२१४०,२९४०,२०२९,६९.०१
कुल जम्मा,४३६४८,४६१४६,२८९८३,६२.८१
