खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,८४१५,८४१५,६३२२,७५.१२
२१२०० कर्मचारीको सामाजिक सुरक्षा,३४,३४,२३,६९.१४
२२१०० सेवा महसुल,४१३,४१३,३७९,९१.७९
२२२०० पुँजीगत सम्पतिको सञ्चालन,१८६१,२४६१,२३९४,९७.२६
२२३०० कार्यालय सामान तथा सेवा,७८७,७८७,७५४,९५.७४
२२४०० सेवा तथा परामर्श खर्च,२२७१,२२७१,२२७१,९९.९६
२२५०० कार्यक्रम सम्बन्धी खर्च,२५६६,५६३२,४८३४,८५.८१
"२२६०० अनुगमन, भूल्याङ्गन र भ्रमण खर्च",१०९१,१०९१,१०३९,९५.२२
२२७०० विविध खर्च,४००,४००,३९६,९९.००
'जम्मा,२०३८,२१५०४,१८४१२,व२.६२
पूँजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१३०३,१३०३,१२६५,९७.०८
कुल जम्मा,२२१४१,२२८०७,१९६७७,८६.२७
