कस.,कार्यालय / निकावको नाम,संख्या
१.,सुष्चनन्त्री तथा नन्जिचारिषद्को कार्यालय,१
१.१.,मुल्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,१
२.,अन्तरिक मामिला तथा कानुन मन्त्रालय,
२.१.,अन्तरिक मामिला तथा कानुन मन्त्रालय,१
२.२.,सञ्चार रजिष्ट्रारको कार्यालय,१
३.,आर्थिक मामिला तथा योजना मन्त्रालय,१२
३.१.,आर्थिक मामिला तथा योजना मन्त्रालय,१
३.२.,प्रदेश लेखा इकाई कार्यालयहरू,१०
३.३.,प्रदेश लेखा नियन्त्रक कार्यालय,१
४.,"उउद्चोग, वाणिज्य, भूमि तथा प्रशासन मन्त्रालय, बागमती प्रदेश",१५
४.१.,"उद्योग, वाणिज्य, भूमि तथा प्रशासन मन्त्रालय, बागमती प्रदेश",१
४.२.,"उच्चोग, वाणिज्य तथा उपभोक्ता हित संरक्षण निर्देशनालय",
४.३.,उद्योग तथा वाणिज्य कार्यालबहरू,१३
५.,"कृषितथा पशुपन्छी विकास मन्त्रालय, बागमती प्रदेश",३७
५.१.,"कृषि तथा पशुपन्छी विकास मन्त्रालय, बागमती प्रदेश",१
५.२.,निर्देशनालबहरू,२
५.३.,कृषि विकास कार्षालबहरू,७
५.४.,बागवानी विकास केन्द्रहरु,
५.५.,तालिम केन्द्रहरु,
५.६.,न्ववसागिक किट विकास फार्महरु,३
५.७.,पशु सेवा कार्यालबहर,३
५.८.,"प्रदेश बिउ बिजन गुणस्तर नियन्त्रण केन्द्र, हेटौडा, मकवानपुर",
५.९.,मत्स्य विकास केन्द्रहरू,२
५.१०.,"पुष्प विकास केन्द्र, गोदावरी",१
५.११.,"बाख्रा विकास फार्म, चित्लाङ्ग",१
५.१२.,"बाली संरक्षण त्रबोगशाला, हरिहरभवन",१
५.१३.,"माटो तथा मल परीक्षण प्रयोनशाला, हेटौडा",१
५.१४.,"पहाडी क्षेत्र काछफल तथा फलफुल विकास आयोजना आयोजना %१४-४४१ इकाई, वागमति प्रदेश हेटौडा",१
"५.१५,","मौरीपालन विकास कार्यक्रम, भण्डारा",१
६.,"खानेपानी, उर्जा तथा सिँचाइ मन्त्रालय, हेटौडा",२३
६.१.,खानेपानी तथा सरसफाई डिभिजन कार्यालयहरू,
६.२.,खानेपानी तथा सरसफाई सव-डिभिजन कार्यालयहरू,र्‌
६.३.,जलस्रोत तथा सिंचाइ विकास डिभिजन कार्वालवहरू,१२
६.४.,"नारायणी लिफ्ट खगेरी सिंचाइ व्यवस्थापन डिभिजन कार्यालय, चितवन",१
६.५.,भूमिगत जलस्रोत तथा सिंचाइ विकास डिभिजन ५:।लबहरू,२
७.,भौतिक पूर्वाधार विकास मन्त्रालय,१७
७.१.,ग्रामीण सडक सञ्जाल सुधार आयोजना,१
७.२.,पूर्वाधार विकास कार्यालय,९
७.३.,प्रदेश राजधानी पूर्वाधार विकास विशेष आयोजना,१
७.४.,प्रादेशिक सडक डिभिजन कार्यालय,१
७.५.,यातायात पूर्वाधार निर्देशनालय,१
