कसे.,कार्यालयको नाम,विनियोजन,राजस्व,घरौटी,अन्य कारोबार,जम्मा
,सरकारी कार्यालयतर्फ,,,,,
१,प्रदेश सभा सचिवालय,२५४५४५३८,१०२१,४४३०,०,२६०९८९
१.१,प्रदेश सभा सचिवालय,२५५५३८,१०२१,४४३०,०,२६०९८९
२,"खानेपानी, उर्जा तथा सिँचाई मन्त्रालय",डेव्द्थ्द,७४,७४०,०,३९५१२
२.१,"खानेपानी, उर्जा तथा सिँचाई मन्त्रालय",३८६९८,७४,७४०,०,३९५१२
३,तथा गरिबी निवारण मन्त्रालय,१८७६५,०,२४५,०,१९०१०
३.१,"सहकारी तालिम केन्द्र, भरतपुर",१८७६४५,०,सश,०,१९०१०
,भौतिक पूर्वाधार विकास मन्त्रालय,१७४८५३३,१४९५६,३५२४२३,१६४५३९,२१३२४५१
४.१,भौतिक पूर्वाधार विकास मन्त्रालय,४७५५५,९३,१४१०,१५५००,६४५५८
४.२,"पूर्वाधार विकास कार्यालय,चितवन",७६२६६२,२६९४,२४७२८७,०,१०१२६४३
.३,"शहरी विकास तथा भवन कार्यालय,मकवानपुर",९३८३१६,१२१६९,१०३७२६,१०३९,१०५४१२५०
५,सामाजिक विकास मन्त्रालय,१३७५२३,१०८२,५४२४५१,३६६२७१,५६८९२७
२.९,सामाजिक विकास मन्त्रालय अन्तर्गत,१३७५२३,१०८२,५४२५१,३६६२७१,५६८९२७
,"श्रम, रोजगार तथा यातायात मन्त्रालय",७०४११,१६७२५६०,११७२,,१७४४१४३
६.१,"यातायात व्यवस्था सेवा कार्यालय, चितवन",२११०८,९६१९१९,१२८,०,९६८३१५५
६.२,"यातायात व्यवस्था सेवा कार्यालय, हेटौडा",१८२७८,५३३८८२,,,५५२१६०
६.३,"यातायात व्यवस्था कार्यालय, चाबहिल, काठमाडौँ",३१०२५,१७६७५९,१०४४,०,२०८८२८
,जम्मा,२२६९४६८,१६९९४९३,४१३२६१,३८२८१०,४७६५०३२
,अन्य संस्था तथा समितितर्फ,,,,,
कसे,संस्था तथा समितिको नाम,,,,'आय/ व्याय तर्फ,कैफियत
१,"मदन भण्डारी स्वास्थ्य विज्ञान प्रतिष्ठान, हैटौडा",,,,८३२१८८,०
,"बागमती विश्वविद्यालय, हेटौंडा",,,,२०१४७,०
डे,हेटौंडा अस्पताल ( सञ्चालन तथा व्यवस्थापन समिती।,,,,१०२३११६,आंशिक जलेको
,जम्मा,,,,१८७५४५१,
,'स्थानीयतर्फ,,,,,
,२ स्थानीय तह,,,,२३१७६१,
