क्रस.,सन्नालक र्‌ निकावको नाम,कार्यालय सङ्ख्या
८.२,पूर्वाधार विकास निर्देशनालय,१
८.३,पूर्वाधार विकास कार्बालबहरू,९
८.४,यातायात व्यवस्था कार्यालयहरू,३
८.६,ग्रामिण सडक सञ्जाल सुधार आयोजना,१
८.७,प्रादेशिक तथा स्थानीय सडक सुधार आयोजना,१
९,सामाजिक विकास भन्जालय,३९
९.१,सामाजिक विकास मन्त्रालय,१
९.२,शिक्षा विकास निर्देशनालय,१
९.३,सामाजिक विकास कार्यालयहरू,
९.४,स्वास्थ्य सेवा निर्देशनालय,१
९.५,जनल्वाल्थ्य सेवा कार्यालबहरू,२
९.६,प्रदेश जनस्वास्थ्य प्रयोगशाला,१
९.७,मानव संसाधन विकास केन्द्र,१
९.८,जिल्ला आयुर्वेद स्वास्थ्य केन्द्रहरू,१
९.९,प्रदेश आयुर्वेद अस्पताल तथा अनुक्षन्धान केन्द्र,९
९.१०,प्रदेश सभ्रहालय तथा अभिलेखालय,
९.११,प्रदेश स्वास्थ्य आपूर्ति व्यवस्थापन कार्यालय,१
९.१२,प्रदेश खेलकुद परिषद्‌,१
९.१३,प्रदेश अस्पताल,१
९.१४,मेहलकुना अस्पताल,१
९.१५,जिल्ला अस्पतालहर,३
१०,कर्णाली प्रदेश योजना आयोग,१
११,प्रदेश लोकसेवा आयोग,१
१२,मुख्य न्यायाधिवक्ताको कार्यालय,१
,जम्मा,१३७
