खर्च शीर्षक,र्रुबजेट,अन्तिम बजेट,खरी,खर्च प्रतिशत
२२२०० पुँजीगत क्षम्पतिको सञ्चालन,४६३८,थ्ध्श्ट,४५८२,९८.७९
२२३०० कार्यालय सामान तथा सेवा,२३२२,२३२२,१९३०,८३.१२
२२४०० सेवा तथा परामर्श खर्च,४३४३,४३४३,३८४३,
२२४५०० कार्यक्रम सम्बन्धी खर्च,९८३९५,९४३९४५,४३८७९,४६.४८
"२२६०० अनुगमन,ुल्याङ्गग र भ्रमण खर्च",२४००,२४००,१२५७,५२.३८
२२७०० विविध खर्च,१२००,१२००,१२००,१००.
२६४०० सामाजिक सेवा अनुदान,७००,७००,७००,१००.
२७२०० सामाजिक खहावता,१०८३६१,१९१६०१,१७४०७३,९०.८४५
२८१०० सम्पत्ति सम्बन्धी खर्च,५४०,५४०,२८१,५२.०४
जम्मा,२५२३००,२३१५४०,२४८१८१,७४.८६
खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,४४१४०,४४१४०,१८४१४५,४१.७२
जम्मा,२९६४४०,३७५६८०,२६६५९६,७०.९६
