= शीर्षक,स्रुबबेट,अन्तिम बजेट,खर्च,प्रतिशत
२२३०० कार्यालय सामान तथा सेवा,१२३८४,१३३८४,१३०८२,१९७.७४
२२४०० सेवा तथा परामर्श खर्च,१७४४०,१६९२०,१४२७२,८४.३५
२२५०० कार्यक्रमसम्बन्धी खर्च,१७६६४,१५७६४,९२३२,१८.५६
"२२६०० अनुगमन, र भ्रमण खर्च",१३३८९,१३३८९,१२०१४,८९.७३
२२७०० विविध खर्च,४७६०,४९७०,अष्ट,९७.४६
२८१०० सम्पतिशम्वन्धी खर्च,५३९४,१४५४,५१६२,९४.६५
२८९११ अर्थ विविध चालु खर्च,८०००००,७१७८८१,,
जम्मा,९६२२०६,८५७९०३७,१२६१२०,१४.३४५
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१३१४९,१४१९९,१३६७३,९६.३
३१५११ अर्थ विविध पँजिगत खर्च,१५०००००,१५०००००,१३८६,०.०९
जम्मा,१५१३१४९,१४१५१४१९९,१५०४५९,०.९९
वित्तीय व्यवस्था,,,,
३२१४५२ अन्य संस्थामा शेयर लगानी,२५००००,२५००००,,
जम्मा,२७२५३५५,२६४३२३६,१४११७९,५.२४
