,,चालु वर्षको कारोबार,,,गत वर्षको कारोबार,
,'बजेट निकाय,पे 'निकाय,जम्मा,'बजेट निकाय,= 'निकाय,जम्मा
"१. राजस्व,अनुदान र अन्य प्राप्ति",२१३७०१३८,४७१६७८,२१८४१८१६,१९३९९०७४,,१९३९९०७४
२. वित्तीय व्यवस्थाबाट प्राप्ति,,,,,,
"३,७९ वर्षको खुद प्राप्ति (१४२।",२१३७०१३८,४७१६७८,२१८४१८१६,१९३९९०७७,,१९३९९०७४
४. भुक्तानी,१९९९७४६४,४३१०८७,२०४२८५५१,१९८६८२०८,,१९८६८२०८
५. विनिमय दर वा अन्य समायोजन,,,,,,
६.यस वर्षको भुक्तानी (४४५),१९९९७४६४,४३१०८७,२०४२८५५१,१९८६८२०८,,१९८६८२०८
७. यस अवधिको कोषमा भएको थप घट,११७००६,,११७००६,र२०३४७०,,२०३४७०
८. आर्थिक वर्षको सुरू मौज्दात,७८७४०२३,२६३५७५,८५१३७५९८,८१३९६८४५,,५१३९६८४५
"९, आर्थिक वर्षको अन्त्यको मौज्दात",९३६३७०३,३०४१६७,९६६७८६९,७८७४०२३,२६३५७५,८०१३७५९८
