क्रस.,. १,२०६१/५२ को लक्ष्य,र२०८१/८२ = को उपसम्धि,नल रै सम्मको = उपलान्च
,'सडक निर्माण तर्फ,,,
,'क. कालोपत्रे/पक्रि (कि.मि.),५०,७२.८४,२४९.५९
१,ग्राभेल/खछण्डस्मिय (कि.मि. ),२००,९३.५९,७१३.६५
,ग. माटे (कि.मि.),१०००,३१७.९,३१६२.४६
,", अन्य: सडक ह्तरोश्ति, नाला निर्माण आदि ( कि.मि.)",,१८५.८३,६४४.७५
,पुल निर्माण (संख्या),,,
२,क. झोलुङ्गे पुल निर्माण ( संख्या),३५,३४,१२५
,'ख. सडक पूल निर्माण ( संख्या),१५,१३,%३
३,सार्वजनिक भवन निर्माण (संख्या),,,१९
,जनता आवास (संख्या),,,
४,क. जनता आवास (सङ्घ),,३८०,३५३०
,'ख. जनता आवास (प्रदेश),२००,१८४,७०६
५,विपन्नको घर कार्यक्रम ( संख्या),,२२३,६२०
