क्रस,'सूचक,एकाई,२०८०।८१ सम्मको 'उपलब्धि,दोस्रो आवधिक लक्ष्य,२०८१।८ २ सम्मको 'उपलब्धि
१,गरिबीको अन्त्य (निरपेक्ष गरिवीको रेखामुनी रहेको जनसंख्या),प्रतिशत,२२.३,१३.२,२२.३
२,भोकनरीको अन्त्य (आधारभुत खाद्य सुरक्षाको स्थितिमा रहेको = परिवार),प्रतिशत,३४.५,%५,३७.५
३,लैङ्गिक समानता (लैङ्गिक विकास सूचकाङ्क),सूचकाङ्,०.९०२,०.९३०,०.९०४५
४,पुणत्तरीय शिक्षा (५ वर्ष वा सोभन्दा माथिको साक्षरता दर),प्रतिशत,७६.१,९५,७९
५,दिगो सफा पानी तथा सरसफाई सेवा (आधारभूत खानेपानी सुविधा पुरेको भल ™ पुगेको परिवार),प्रतिशत,५३,थ्व,९०.४५
६,किफाबती दिगो तथा आधुनिक उर्जामा पहुँच (विद्युतमा पहुँच प्राप्त हुँच ( पहुँ,प्रतिशत,७१,९५,७१
७,समावेशी आर्थिक वृद्धि तथा मर्यादित काम दर),प्रतिशत,७.५,त,६.८
८,"उच्चोग, नविन खोज र पूर्वाधार (३० मिनेटको दुरीमा सडक पुगेको ५२५२ आताबातमा पहुँच पुगेको ५९५२िवार)",प्रतिशत,७६.२,९०,
९,न्युनिकरण (उपभोगमा आधारीत माथिल्लो १० र तल्लो ४० प्रतिशत जनसङ्ख्याको अनुपात),अनुपात =,०.४२,०.३%,
१०,दिगो सहर र समुदाय (आफ्नै स्वामित्वको आवासमा बसोबास गर्ने घर परिवार),प्रतिशत,९५,९६,९४.५
११,जिम्मेवार उपयोग र उत्पादन (कृषि कार्यमा प्रयोग भएको कृषियोग्य पनि) र डत्मादन (कृ कृ,प्रतिशत,६९.७१,७५,७०
१२,जलबायु कार्य तथा विपद्‌ व्यवस्थापन (विपद्बाट हुने वार्षिक क्षति),हजारमा,६१४००,५००००,
१३,"वन, जलाधार तथा जैविक विविधता संरक्षण (वनले ढाकेको क्षेत्रफल)",प्रतिशत,३८.५७,,३८.५७
१४,शान्ति न्याय तथा सशक्त संस्था (शार्षजनिक सेवा प्रवाहमा नागरिक चन्तुटीको दर),प्रतिशत,३७.७,,
