खर्च शीर्षक,सुरू बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक सुविधा,७८६७,७८६७,७०६९,८९.८६
२१२०० कर्मचारीको सामाजिक सुरक्षा,३९,३९,२६,६६.६७
२२१०० सेवा महसुल,३६७,३६७,३५३,९६.१९
२२२०० पुँजीगत सम्पत्तिको सञ्चालन,१५६०,१७१०,१६५३,९६.६७
२२३०० कार्यालय सामान तथा सेवा,६८२,६८२,६७०,९८.२४
२२४०० सेवा तथा परामर्श खर्च,१९७०,१९७०,१८७९,९५.३८
२२५०० कार्यक्रम सम्बन्धि खर्च,२३८०,२२३०,२१६२,९६.९५
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१०४६,१०४६,९६७,९२.४४५
२२७०० विविध खर्च,३६४२,३२६५,३४७,"९५,.०७"
२८१०० सम्पत्ति सम्बन्धी खर्च,९२४,९२४,८१६,८व.३१
जम्मा,१७२००,१७२००,११५९४२,९२.६९
पुँजीगततर्फ,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,₹००,₹००,४९१,९८.२०
कुल जम्मा,१७७००,१७७००,१६४३३,९२.ठ४
