_link,id,tag,date,ocid,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_mainProcurementCategory,tender_awardCriteriaDetails,tender_description,tender_hasEnquiries,tender_eligibilityCriteria,tender_awardCriteria,tender_procurementMethod,tender_procurementMethodRationale,tender_numberOfTenderers,tender_value_amount,tender_value_currency,tender_minValue_amount,tender_minValue_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,planning_rationale,planning_budget_id,planning_budget_description,planning_budget_project,planning_budget_projectID,planning_budget_amount_amount,planning_budget_amount_currency,tender_awardPeriod_startDate,tender_awardPeriod_endDate
0,ocds-rw2stw-1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01-2017-11-07T00:00:00+05:45,compiled,2017-11-07T00:00:00+05:45,ocds-rw2stw-1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01,Recurrent Maintenace Works on Duhabi Inaruwa Kaptangunj Road,Sealed Quotation,active,works,,,false,,,open,,4,0,NPR,0,NPR,2017-11-22T12:00:00+05:45,2017-11-07T00:00:00+05:45,2017-11-07T12:00:00+05:45,2017-11-07T00:00:00+05:45,null,3371653,,Recurrent Maintenace Works on Duhabi Inaruwa Kaptangunj Road,2991,n/a,NPR,,
1,ocds-rw2stw-1DROB-3876/04/ DROBRT/3373664/ 2074/75-11-2017-12-03T00:00:00+05:45,compiled,2017-12-03T00:00:00+05:45,ocds-rw2stw-1DROB-3876/04/ DROBRT/3373664/ 2074/75-11,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3876/04/ DROBRT/3373664/ 2074/75-11,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-01-03T12:00:00+05:45,2017-12-03T00:00:00+05:45,2017-12-24T12:00:00+05:45,2017-12-03T00:00:00+05:45,null,3373664,Government Budget,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,3876,n/a,NPR,,
2,ocds-rw2stw-1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05,Recurrent Maintenace Works on Koshi Highway(Itahari-Bhedetar Sector),NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Koshi Highway(Itahari-Bhedetar Sector),3061,n/a,NPR,,
3,ocds-rw2stw-1DROB-7401/09/DROBRT/3371574/2074/75-29-2018-03-06T00:00:00+05:45,compiled,2018-03-06T00:00:00+05:45,ocds-rw2stw-1DROB-7401/09/DROBRT/3371574/2074/75-29,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7401/09/DROBRT/3371574/2074/75-29,"Construction Of Road & Retaining Structures near approach of Tengra Khola Bridge in Pashupati chowk 2,3,Ithari,Sunsari  ",Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2018-03-23T12:00:00+05:45,2018-03-06T00:00:00+05:45,2018-03-08T12:00:00+05:45,2018-03-06T00:00:00+05:45,null,3371574,,"Construction Of Road & Retaining Structures near approach of Tengra Khola Bridge in Pashupati chowk 2,3,Ithari,Sunsari  ",7401,n/a,NPR,,
4,ocds-rw2stw-1DROB-7402/09/DROBRT/3373354/2074/75-28-2018-03-06T00:00:00+05:45,compiled,2018-03-06T00:00:00+05:45,ocds-rw2stw-1DROB-7402/09/DROBRT/3373354/2074/75-28,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7402/09/DROBRT/3373354/2074/75-28,Construction Of Blacktopped Road Work in Kanepokhari-Letang Road Bistar in Letang Bazzar,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-04-05T12:00:00+05:45,2018-03-06T00:00:00+05:45,2018-03-26T12:00:00+05:45,2018-03-06T00:00:00+05:45,null,3373354,Government Budget,Construction Of Blacktopped Road Work in Kanepokhari-Letang Road Bistar in Letang Bazzar,7402,n/a,NPR,,
5,ocds-rw2stw-1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Bardanga-Urlabari Sector),NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Bardanga-Urlabari Sector),3070,n/a,NPR,,
6,ocds-rw2stw-1DROB-7991/10/DROBRT/3371653/2074/75-32-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7991/10/DROBRT/3371653/2074/75-32,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7991/10/DROBRT/3371653/2074/75-32,"Construction Of  Multicell RCC Bridge in Gobindpur-7, Sigadi- Arubari-Mahadev   Road ,Morang",NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371574,Government Budget,"Construction Of  Multicell RCC Bridge in Gobindpur-7, Sigadi- Arubari-Mahadev   Road ,Morang",7991,n/a,NPR,,
7,ocds-rw2stw-1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02-2017-11-07T10:00:00+05:45,compiled,2017-11-07T10:00:00+05:45,ocds-rw2stw-1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02,Recurrent Maintenace Works on Mahendra Highway(Mawa-Itahari Sector),Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2017-11-22T12:00:00+05:45,2017-11-07T10:00:00+05:45,2017-11-07T12:00:00+05:45,2017-11-07T10:00:00+05:45,null,3371653,,Recurrent Maintenace Works on Mahendra Highway(Mawa-Itahari Sector),3001,n/a,NPR,,
8,ocds-rw2stw-1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Biratnagar –Rangeli-Aambari Sector),NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Biratnagar –Rangeli-Aambari Sector),3068,n/a,NPR,,
9,ocds-rw2stw-1DROB-6428/08/DROBRT/3373204/2074/75-24-2018-02-12T00:00:00+05:45,compiled,2018-02-12T00:00:00+05:45,ocds-rw2stw-1DROB-6428/08/DROBRT/3373204/2074/75-24,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-6428/08/DROBRT/3373204/2074/75-24,Wing wall construction in Bakaraha khola Bridge in Biratnagar-Rangeli-Urlabari Road,NCB,active,works,,,false,,,open,,9,0,NPR,0,NPR,2018-03-14T12:00:00+05:45,2018-02-12T00:00:00+05:45,2018-03-04T12:00:00+05:45,2018-02-12T00:00:00+05:45,null,3373204,Government Budget,Wing wall construction in Bakaraha khola Bridge in Biratnagar-Rangeli-Urlabari Road,6428,n/a,NPR,,
